lo,hi,n,mean,std,sharpe,win_rate
0.6,0.98,985,-0.07103314614309282,0.6085902135221813,-0.11671752940618699,0.7187817258883249
0.62,0.94,805,-0.07246895562513385,0.6173151551693881,-0.11739377369610948,0.7068322981366459
0.58,0.9,932,-0.07992778518379265,0.6791501112807501,-0.11768795124403911,0.6620171673819742
0.56,0.68,543,-0.09823254828506739,0.8174462581990422,-0.12017003845792697,0.5561694290976059
0.58,0.74,594,-0.0906169415910207,0.7517491265264914,-0.12054146575430359,0.6026936026936027
0.58,0.88,913,-0.08270808843621204,0.6849491579409024,-0.12075069729970836,0.656078860898138
0.64,0.94,715,-0.07183305049976292,0.5938187211973777,-0.12096797883858994,0.7216783216783217
0.8,0.82,43,-0.06338242959352339,0.5211475224955368,-0.12162089784100664,0.7674418604651163
0.58,0.78,714,-0.0885998393986575,0.7281806676366971,-0.12167288055889669,0.6204481792717087
0.6,0.96,923,-0.07701852176591564,0.6282436062664566,-0.1225934032558221,0.6998916576381365
0.66,0.76,317,-0.081181889755628,0.6597471845379546,-0.12304999802686947,0.6656151419558359
0.78,0.88,199,-0.06156884126442273,0.49939009806440604,-0.12328806979365105,0.7839195979899497
0.66,0.92,615,-0.07253919992484709,0.5872106277414816,-0.12353182401320968,0.7235772357723578
0.58,0.86,879,-0.08599879241355139,0.6940638468152168,-0.12390616916320549,0.6473265073947668
0.62,0.92,773,-0.07808362119182923,0.6293320774059445,-0.12407379823015464,0.6946959896507116
0.56,0.72,667,-0.09923262169874854,0.7943914928518256,-0.12491652112550752,0.5712143928035982
0.62,0.76,475,-0.08732987427376235,0.6988929959048541,-0.12495457070748962,0.6378947368421053
0.58,0.82,816,-0.08899253434010732,0.7084743927887736,-0.12561150444662547,0.6348039215686274
0.58,0.8,773,-0.09041715853687719,0.7174334396095258,-0.12602863700650493,0.6274256144890039
0.74,0.88,319,-0.06798125842380967,0.5386247590733887,-0.12621265041874372,0.7554858934169278
0.62,0.9,748,-0.0806511924361031,0.6372860977313276,-0.1265541374952521,0.6871657754010695
0.66,0.9,590,-0.07555942494017301,0.5961977319985589,-0.12673551220479257,0.7152542372881356
0.58,0.84,850,-0.08901890663689561,0.7016306370804791,-0.12687431524841591,0.64
0.76,0.92,298,-0.06334546611156672,0.49843290807357465,-0.1270892533087245,0.785234899328859
0.6,0.94,890,-0.08145102682955627,0.6393538558102694,-0.12739584830739983,0.6887640449438203
0.64,0.92,683,-0.07815777600348717,0.6068327954647859,-0.12879622951759637,0.7086383601756955
0.62,0.66,158,-0.09966475460444958,0.7713171815914165,-0.12921370997961792,0.5822784810126582
0.62,0.88,729,-0.08415209999063367,0.6438918044605807,-0.13069291984719691,0.6803840877914952
0.74,0.78,120,-0.07861518354645967,0.5978903845641114,-0.13148761976457213,0.7083333333333334
0.64,0.9,658,-0.08107935223602257,0.6153377568640945,-0.13176398056446587,0.7006079027355623
0.64,0.76,385,-0.08962288859515548,0.6787351063764032,-0.1320439855743276,0.6493506493506493
0.66,0.88,571,-0.07985963163864958,0.6038310978931438,-0.13225491684229526,0.7075306479859895
0.6,0.92,858,-0.08684445662162742,0.650544739050662,-0.1334949795280172,0.6771561771561772
0.56,0.7,608,-0.10782772574274942,0.8076045598590841,-0.13351549892383455,0.5575657894736842
0.62,0.78,530,-0.09263147449349399,0.6901909237848363,-0.13421137731792515,0.6415094339622641
0.76,0.9,273,-0.06903077531929669,0.5125367303116428,-0.1346845430518184,0.7728937728937729
0.62,0.86,695,-0.0883846542193123,0.6540705039896467,-0.13513016361415273,0.6705035971223021
0.62,0.74,410,-0.0967338035511626,0.7149030922546893,-0.13531037227168755,0.6219512195121951
0.98,1.0,262,-0.008441433074613156,0.062223721492867916,-0.13566261985118833,0.21755725190839695
0.6,0.9,833,-0.08941296103514702,0.658047542485264,-0.13587614155879824,0.6698679471788715
0.64,0.88,639,-0.0850860762476834,0.6224730125577653,-0.13669038581779067,0.6932707355242567
0.66,0.78,372,-0.08964422111303437,0.6526673040270331,-0.1373505621622519,0.6666666666666666
0.74,0.86,285,-0.07637359728577331,0.5547611558367649,-0.1376693311747403,0.7403508771929824
0.62,0.82,632,-0.09248782305765496,0.6697051791387271,-0.13810229626206375,0.6566455696202531
0.66,0.86,537,-0.0850657420017114,0.6152950056046151,-0.13825196243568103,0.6964618249534451
0.6,0.76,560,-0.09934927657162404,0.718166060009019,-0.13833747110017477,0.6196428571428572
0.62,0.8,589,-0.094612665025325,0.679230461371562,-0.13929390745267045,0.6485568760611206
0.62,0.84,666,-0.09234304323163907,0.6625077403041482,-0.13938409714163588,0.6621621621621622
0.6,0.88,814,-0.09275280773125832,0.6642113576821257,-0.13964351355709187,0.6633906633906634
0.66,0.74,252,-0.09489614376378422,0.6771328964785698,-0.1401440459580264,0.6468253968253969
0.58,0.68,401,-0.11233680396437083,0.7958035090859472,-0.14116148355942773,0.5610972568578554
0.64,0.86,605,-0.09000075456449552,0.633334466781183,-0.14210620025451856,0.6826446280991736
0.66,0.82,474,-0.09009551254205675,0.6321975523119272,-0.14251164404635894,0.6814345991561181
0.64,0.78,440,-0.09572228025147628,0.6704925004432822,-0.1427641326162358,0.6522727272727272
0.58,0.72,525,-0.11027608255997408,0.7709386740847249,-0.14304131608249673,0.579047619047619
0.78,0.86,165,-0.07474335273254684,0.5211513593177135,-0.14341966378136314,0.7636363636363637
0.6,0.86,780,-0.09689902472114666,0.6738233204190076,-0.14380479538893273,0.6538461538461539
0.66,0.84,508,-0.09006581804088305,0.6247965304707322,-0.1441522378061638,0.687007874015748
0.66,0.8,431,-0.09276062290583152,0.6421632446736872,-0.14445022145882466,0.6728538283062645
0.6,0.78,615,-0.10284322940101491,0.7090965511101014,-0.14503416952178413,0.624390243902439
0.8,0.84,77,-0.07498191029032733,0.5166655435478663,-0.1451265934543217,0.7662337662337663
0.64,0.82,542,-0.09497311070394036,0.6497093382518075,-0.14617784463355163,0.6678966789667896
0.74,0.82,222,-0.08464614737144717,0.5769159125821284,-0.14672181079664212,0.7207207207207207
0.64,0.74,320,-0.1021374415158575,0.695659417043414,-0.146821043478354,0.63125
0.6,0.82,717,-0.10126388950140902,0.6888494758803554,-0.14700437910908318,0.6401673640167364
0.64,0.84,576,-0.09465900802321073,0.6423347548385294,-0.14736709684501842,0.6736111111111112
0.6,0.84,751,-0.10073817761963245,0.6817905314678919,-0.14775531922208368,0.6458055925432756
0.64,0.8,499,-0.09769535376555945,0.6595453906510486,-0.14812529228522497,0.6593186372745491
0.6,0.74,495,-0.10871669506272527,0.733400485257412,-0.14823646458942202,0.604040404040404
0.6,0.8,674,-0.10368065919879638,0.6981132221083286,-0.1485155357546113,0.6320474777448071
