bucket,n,implied,actual,edge,se,ci_low,ci_high
"(-0.001, 0.05]",770,0.014862987012987012,0.00909090909090909,-0.005772077922077921,0.0034203866385097456,0.0023869512794299896,0.01579486690238819
"(0.05, 0.1]",198,0.07442171717171717,0.1111111111111111,0.03668939393939394,0.022334173672426932,0.06733613071315432,0.1548860915090679
"(0.1, 0.15]",171,0.12669005847953219,0.18128654970760233,0.05459649122807014,0.02946121810016863,0.12354256223127182,0.23903053718393286
"(0.15, 0.2]",181,0.18006353591160223,0.2541436464088398,0.07408011049723756,0.032361447409637464,0.1907152094859504,0.3175720833317292
"(0.2, 0.25]",245,0.2290591836734694,0.1836734693877551,-0.04538571428571428,0.02473842966250312,0.135186147249249,0.23216079152626123
"(0.25, 0.3]",354,0.276225988700565,0.2598870056497175,-0.016338983050847466,0.023309860062072297,0.2141996799280558,0.30557433137137924
"(0.3, 0.35]",261,0.3250229885057471,0.3716475095785441,0.046624521072796965,0.02991210868506284,0.3130197765558209,0.43027524260126726
"(0.35, 0.4]",216,0.3780833333333333,0.33796296296296297,-0.04012037037037036,0.0321846523284188,0.2748810443992621,0.40104488152666384
"(0.4, 0.45]",306,0.42837581699346405,0.3954248366013072,-0.03295098039215688,0.027950939465318708,0.3406409952492825,0.45020867795333186
"(0.45, 0.5]",514,0.48256322957198444,0.3657587548638132,-0.11680447470817124,0.021244330353939783,0.32411986737009124,0.4073976423575352
"(0.5, 0.55]",804,0.5167151741293533,0.48383084577114427,-0.032884328358209036,0.017624417652124618,0.44928698717298,0.5183747043693085
"(0.55, 0.6]",156,0.5747083333333334,0.6089743589743589,0.034266025641025544,0.03906967716310211,0.5323977917346788,0.685550926214039
"(0.6, 0.65]",133,0.6264360902255639,0.6165413533834586,-0.00989473684210529,0.04216135430258626,0.5339050989503895,0.6991776078165277
"(0.65, 0.7]",101,0.6759257425742574,0.5841584158415841,-0.0917673267326733,0.04904204712860897,0.48803600346951054,0.6802808282136577
"(0.7, 0.75]",90,0.7278444444444444,0.7666666666666667,0.03882222222222231,0.04458311699497529,0.6792837573565151,0.8540495759768183
"(0.75, 0.8]",65,0.7762846153846154,0.8307692307692308,0.054484615384615465,0.04650752064514881,0.7396144903047391,0.9219239712337225
"(0.8, 0.85]",44,0.8259886363636363,0.8636363636363636,0.03764772727272736,0.05173547117995419,0.7622348401236534,0.9650378871490739
"(0.85, 0.9]",36,0.8745972222222222,0.9166666666666666,0.04206944444444438,0.046064233199380564,0.8263807695958807,1.0069525637374526
"(0.9, 0.95]",34,0.9257941176470589,1.0,0.07420588235294112,0.0,1.0,1.0
"(0.95, 1.0]",100,0.97785,1.0,0.022150000000000003,0.0,1.0,1.0
