bucket,n,implied,actual,edge,se,ci_low,ci_high
"(-0.001, 0.05]",2490,0.01052550200803213,0.009236947791164659,-0.001288554216867471,0.0019171207689758453,0.005479391083972002,0.012994504498357314
"(0.05, 0.1]",428,0.07277219626168224,0.07710280373831775,0.004330607476635509,0.01289406526836587,0.05183043581232065,0.10237517166431485
"(0.1, 0.15]",340,0.12655588235294116,0.14411764705882352,0.01756176470588236,0.019046981454925352,0.10678556340716983,0.1814497307104772
"(0.15, 0.2]",336,0.17673958333333334,0.19047619047619047,0.013736607142857127,0.021422271686724698,0.14848853797021005,0.23246384298217088
"(0.2, 0.25]",405,0.22724197530864199,0.2740740740740741,0.046832098765432095,0.022164228548427884,0.23063218611915542,0.31751596202899274
"(0.25, 0.3]",514,0.27717996108949416,0.321011673151751,0.043831712062256833,0.02059254421250794,0.28065028649523543,0.36137305980826656
"(0.3, 0.35]",429,0.3257645687645688,0.3123543123543124,-0.013410256410256394,0.02237574318844801,0.26849785570495427,0.3562107690036705
"(0.35, 0.4]",422,0.3761457345971564,0.4004739336492891,0.024328199052132737,0.02385255667622043,0.3537229225638971,0.44722494473468116
"(0.4, 0.45]",413,0.42788983050847457,0.4261501210653753,-0.0017397094430992577,0.024333547592852358,0.3784563677833847,0.4738438743473659
"(0.45, 0.5]",418,0.477072966507177,0.48564593301435405,0.008572966507177038,0.0244457196163691,0.4377323225662706,0.5335595434624375
"(0.5, 0.55]",383,0.524686684073107,0.5587467362924282,0.03406005221932118,0.025371846662548107,0.5090179168338339,0.6084755557510225
"(0.55, 0.6]",263,0.576403041825095,0.5741444866920152,-0.0022585551330798204,0.030490451980107566,0.5143832008110044,0.633905772573026
"(0.6, 0.65]",211,0.6265094786729858,0.5639810426540285,-0.0625284360189573,0.03413844313139603,0.49706969411649227,0.6308923911915647
"(0.65, 0.7]",156,0.6778173076923077,0.5384615384615384,-0.1393557692307693,0.039913424743290064,0.4602312259646899,0.616691850958387
"(0.7, 0.75]",160,0.7274624999999999,0.7375,0.010037500000000144,0.034784492773360945,0.6693223941642126,0.8056776058357875
"(0.75, 0.8]",147,0.777125850340136,0.7142857142857143,-0.06284013605442174,0.0372600379255215,0.6412560399516921,0.7873153886197365
"(0.8, 0.85]",91,0.8241208791208792,0.7802197802197802,-0.043901098901098945,0.043409230138855386,0.6951376891476236,0.8653018712919368
"(0.85, 0.9]",68,0.8735882352941177,0.8970588235294118,0.023470588235294132,0.03685110954061097,0.8248306488298143,0.9692869982290093
"(0.9, 0.95]",76,0.9287434210526316,0.9736842105263158,0.044940789473684184,0.018361597761167376,0.9376954789144277,1.0096729421382038
"(0.95, 1.0]",338,0.9890369822485208,0.9970414201183432,0.008004437869822412,0.002954200042272918,0.9912511880354883,1.0028316522011982
