lo,hi,n,mean,std,sharpe,win_rate
0.88,0.94,40,0.08543130772280727,0.020035507839733714,4.263995123367071,1.0
0.92,0.96,34,0.051955546637417936,0.013400359498081148,3.8771755821071565,1.0
0.96,0.98,43,0.01840512603229179,0.005477068835451155,3.3603970636925053,1.0
0.9,0.96,46,0.06166830321089245,0.020248825672797986,3.04552492116799,1.0
0.88,0.96,58,0.071607900623124,0.026729772787597077,2.6789565774517503,1.0
0.94,0.98,61,0.025039776174056515,0.011775561712781405,2.1264188312034316,1.0
0.92,0.98,77,0.033219597468321524,0.019328889253056317,1.7186501010692472,1.0
0.9,0.98,89,0.04076586929314156,0.02634018499509871,1.5476682984848866,1.0
0.88,0.98,101,0.04895721441118554,0.03339301111533232,1.4660916394181343,1.0
0.94,1.0,106,0.014857252626976026,0.015329952419092395,0.9691649537328209,0.8018867924528302
0.92,1.0,122,0.021355339646744003,0.022122295096581153,0.9653311084365891,0.8278688524590164
0.88,1.0,146,0.03419261018747774,0.03565555906396356,0.9589699638740373,0.8561643835616438
0.9,1.0,134,0.02742988655919112,0.028708071185790208,0.9554764714659145,0.8432835820895522
0.96,1.0,88,0.009532532400347257,0.010370267031326883,0.9192176413154101,0.7613636363636364
0.86,0.96,73,0.05370970089939001,0.18188902118025546,0.29528830575300463,0.9726027397260274
0.84,0.96,87,0.057865439521455245,0.20628771011160346,0.2805084194795198,0.9655172413793104
0.86,0.98,116,0.04062266021589671,0.145333215874242,0.2795139429863564,0.9827586206896551
0.86,0.94,55,0.05790549524411946,0.20934630129834214,0.27660147270334423,0.9636363636363636
0.84,0.94,69,0.062294019001995736,0.2314089513929409,0.26919450879935153,0.9565217391304348
0.84,0.98,130,0.04481318198273194,0.16980420458181186,0.2639109089971968,0.9769230769230769
0.86,1.0,161,0.029563174017925648,0.12467195820255972,0.23712769450443,0.8571428571428571
0.84,0.92,53,0.06165669156027163,0.2640110490305036,0.23353829995633202,0.9433962264150944
0.84,1.0,175,0.03356089194055522,0.14762723981652517,0.22733536156515244,0.8628571428571429
0.86,0.92,39,0.0552389635893144,0.24852399023846658,0.22226813409969345,0.9487179487179487
0.78,0.82,40,0.0818475315496872,0.4128676977380213,0.19824154807485633,0.875
0.98,1.0,45,0.0010542762631558088,0.00587666896567307,0.1794003149256953,0.5333333333333333
0.84,0.9,41,0.05359881196745253,0.29967378953462503,0.1788571901823252,0.926829268292683
0.76,0.82,64,0.07725688818942729,0.4404708872776098,0.17539612814577596,0.859375
0.6,0.62,59,0.12581103277814862,0.7526869744522993,0.1671492094966787,0.6949152542372882
0.8,0.96,126,0.04583010384742456,0.2989834421237658,0.15328642791012131,0.9285714285714286
0.8,0.98,169,0.038852150912213265,0.2584510186001984,0.1503269405655321,0.9467455621301775
0.72,0.82,130,0.0737695734225598,0.4909721858864649,0.15025204185317878,0.8307692307692308
0.8,0.94,108,0.04665358479209809,0.32292086648265544,0.14447373841232997,0.9166666666666666
0.76,0.96,174,0.04798669480240701,0.35673825066352277,0.13451513739598475,0.9022988505747126
0.72,0.78,90,0.07017936981050317,0.5219069704303375,0.13446720160230258,0.8111111111111111
0.8,1.0,214,0.030903999700962866,0.23020720668470146,0.13424427560727883,0.8598130841121495
0.78,0.96,150,0.04452763542321974,0.3320071280184999,0.134116504332216,0.9133333333333333
0.78,0.98,193,0.038707594470836826,0.2929075699547275,0.13214951896538407,0.9326424870466321
0.76,0.98,217,0.042124909285748226,0.3196706318916222,0.13177597527954904,0.9216589861751152
0.72,0.76,66,0.0703879348607489,0.5353915548085556,0.13147001335483915,0.803030303030303
0.74,0.82,102,0.06321728190789286,0.4811730119379899,0.13138160358012732,0.8333333333333334
0.72,0.96,240,0.054147035818451025,0.4137538661671785,0.1308677458897091,0.875
0.76,0.94,156,0.048805634412755886,0.37674256487125196,0.1295463771911059,0.8910256410256411
0.72,0.94,222,0.05522199400540248,0.4301789296549794,0.12836982520202167,0.8648648648648649
0.72,0.98,283,0.048716286274971,0.3812478026908596,0.12778115947457228,0.8939929328621908
0.78,0.94,132,0.04502378322919742,0.3539098187660769,0.12721823708134164,0.9015151515151515
0.54,0.56,112,0.11232539936956086,0.8861639087331453,0.12675465369622263,0.6160714285714286
0.8,0.92,92,0.043566353251122666,0.34977362070665274,0.12455585748034666,0.9021739130434783
0.72,0.8,114,0.06333943431274344,0.5113150896239964,0.12387554288554459,0.8157894736842105
0.72,0.92,206,0.05450873791629145,0.44656100822025213,0.12206336180924854,0.8543689320388349
0.76,1.0,262,0.03507079292690603,0.29134790447618963,0.12037427552451191,0.8549618320610687
0.78,1.0,238,0.031588269599636634,0.2641912970249085,0.11956589772394519,0.8571428571428571
0.72,1.0,328,0.042177290998959775,0.354516900643088,0.11897117153639458,0.8445121951219512
0.76,0.92,140,0.047022830785332925,0.39764348926467974,0.1182537424975505,0.8785714285714286
0.74,0.96,212,0.046478333991040295,0.3963919432228155,0.11725347799239805,0.8820754716981132
0.74,0.98,255,0.04174442049211408,0.36158852852306306,0.11544730321678752,0.9019607843137255
0.72,0.9,194,0.05236364251921235,0.4600765452136348,0.11381506634922563,0.845360824742268
0.74,0.94,194,0.046996911746761044,0.41436490256114267,0.1134191420563818,0.8711340206185567
0.7,0.82,171,0.059592855262476645,0.5255608473874602,0.1133890691414897,0.8070175438596491
0.72,0.86,167,0.05433820617229207,0.48120991964171217,0.11291996269060688,0.8323353293413174
0.76,0.8,48,0.053647746059235925,0.4760562052654357,0.1126920423804232,0.8333333333333334
0.78,0.92,116,0.04235048903285131,0.3774435199033054,0.11220351337254587,0.8879310344827587
0.82,0.98,153,0.02742917954826157,0.2510905806263363,0.10924017730908296,0.9477124183006536
0.7,0.96,281,0.0483829975138042,0.45009873194474204,0.10749418756359462,0.8540925266903915
0.74,1.0,300,0.03564089885777033,0.3336923805700961,0.10680764959895012,0.8466666666666667
0.7,0.98,324,0.04440445284187509,0.41929642850735593,0.10590229208474185,0.8734567901234568
0.72,0.84,153,0.0520326493990957,0.494294268334596,0.10526654410622042,0.8235294117647058
0.7,0.94,263,0.04889587974962008,0.46523896293314365,0.10509841961935285,0.844106463878327
0.74,0.92,178,0.045432124833867035,0.4325487126487671,0.10503354536800638,0.8595505617977528
0.82,0.96,110,0.030956764104504302,0.2960336436446817,0.10457177678649447,0.9272727272727272
0.76,0.9,128,0.04306986678060756,0.41564195024870987,0.10362252115032089,0.8671875
0.54,0.58,173,0.09051113742599959,0.8755174684051179,0.10338016166699536,0.6127167630057804
0.54,0.62,284,0.08653829808247597,0.8420734029092625,0.10276811710653316,0.6302816901408451
0.72,0.88,182,0.04858258439718162,0.47475490789924185,0.1023319266190554,0.8351648351648352
0.58,0.62,111,0.08034639532184905,0.7870807151391304,0.10208151943812574,0.6576576576576577
0.7,0.92,247,0.04789122961824604,0.4800509124541798,0.09976281343453793,0.8340080971659919
0.7,1.0,369,0.03911784594203127,0.3931599564953831,0.09949600740300885,0.8319783197831978
0.76,0.86,101,0.04385026465310246,0.441917471249497,0.09922727094069914,0.8514851485148515
0.74,0.78,62,0.05119776600996097,0.5201515246327836,0.09842856088157302,0.8064516129032258
0.8,0.9,80,0.036723139213430546,0.3746038535287827,0.0980319312454935,0.8875
0.82,1.0,198,0.021434883347101162,0.2210152723478543,0.09698372026239416,0.8535353535353535
0.7,0.78,131,0.05279753425874823,0.5552551134428388,0.09508698430776993,0.7862595419847328
0.74,0.9,166,0.04226906541204512,0.44774143866456756,0.094405077935419,0.8493975903614458
0.74,0.8,86,0.04742806652703544,0.5063253900653428,0.09367112030647862,0.813953488372093
0.7,0.9,235,0.04578246959011884,0.49205994767784006,0.09304246323273886,0.825531914893617
0.7,0.8,155,0.05045825301034507,0.5427689159840522,0.09296452233058175,0.7935483870967742
0.78,0.9,104,0.03694618620944145,0.39826494618754216,0.0927678585904057,0.875
0.7,0.74,69,0.05423500717794836,0.5849997719443599,0.09270945012113051,0.7681159420289855
0.7,0.86,208,0.046513529498670714,0.5119230798381806,0.090860387684364,0.8125
0.74,0.86,139,0.04268056575859764,0.4714122915939416,0.09053765996275977,0.8345323741007195
0.82,0.94,92,0.02901345787246274,0.3236522845219873,0.08964391496668615,0.9130434782608695
0.54,0.6,225,0.07624011431783291,0.8636879563994595,0.08827275377980554,0.6133333333333333
0.7,0.76,107,0.049027452390281855,0.5701596845530202,0.08598898469771182,0.7757009345794392
0.8,0.86,53,0.03497707394566082,0.4083422366078731,0.08565627263106007,0.8679245283018868
0.7,0.84,194,0.04413056218047617,0.5237350458937865,0.08426123576505103,0.8041237113402062
0.7,0.88,223,0.04234243975442954,0.5048935877306077,0.08386408697474265,0.8161434977578476
0.78,0.86,77,0.03582256036139597,0.4280310767178928,0.08369149416925618,0.8571428571428571
0.76,0.88,116,0.036176091892048526,0.4360247215809544,0.08296798346864354,0.853448275862069
0.76,0.84,87,0.03810795008335877,0.46018970048818303,0.08280921985636079,0.8390804597701149
0.74,0.88,154,0.0370139517529828,0.46444333614805683,0.07969530160549738,0.8376623376623377
0.74,0.84,125,0.0385529085418715,0.4865342661420883,0.07923986289305356,0.824
0.74,0.76,38,0.03957162922320325,0.5420479100347232,0.07300393284547177,0.7894736842105263
0.78,0.88,92,0.027455294318932278,0.4225121756139973,0.0649810725076362,0.8586956521739131
0.82,0.92,76,0.02156257191872715,0.3556340946520937,0.06063134059129278,0.8947368421052632
0.54,0.64,331,0.05020559144534991,0.8394638487774202,0.059806734403713056,0.6163141993957704
0.8,0.88,68,0.023843159538739764,0.4049405348546733,0.05888064416000412,0.8676470588235294
0.78,0.84,63,0.026108763097085014,0.4506645530169456,0.0579339176385219,0.8412698412698413
0.52,0.62,500,0.043006890596456085,0.8920754757158564,0.048209923674837826,0.584
0.56,0.62,191,0.037131655558882974,0.8247295403536312,0.045022827171876854,0.6178010471204188
0.8,0.84,39,0.018982047343817685,0.4391224568397484,0.043227229781019644,0.8461538461538461
0.52,0.58,389,0.03235217330977584,0.9195622414224778,0.03518214630010256,0.5629820051413882
0.52,0.6,441,0.03192878540661514,0.9085321787957156,0.035143263113627546,0.5691609977324263
0.58,0.6,52,0.028761518207970703,0.821326455756843,0.03501837546614432,0.6153846153846154
