lo,hi,n,mean,std,sharpe,win_rate
0.96,0.98,55,0.01853555023899392,0.00616125775092748,3.0084036390465383,1.0
0.96,1.0,208,0.0037885634823157386,0.010658621030890407,0.3554459316393621,0.5288461538461539
0.9,0.94,51,0.05280049692624647,0.15083783399763726,0.35004809819182064,0.9803921568627451
0.88,0.94,73,0.055053629895455,0.17989137663263058,0.30603818218526435,0.9726027397260274
0.92,0.98,119,0.02709751389467518,0.09735627055053381,0.27833352429631053,0.9915966386554622
0.92,0.96,64,0.03445545141127626,0.1321886848214249,0.26065356091425296,0.984375
0.86,0.94,101,0.05455978165676459,0.21797130600428394,0.250307174173156,0.9603960396039604
0.9,0.98,143,0.029357524106608416,0.12638370490702663,0.23228883919968235,0.986013986013986
0.88,0.96,110,0.04095236657481803,0.1779418476878857,0.23014466302861747,0.9727272727272728
0.88,0.98,165,0.033480094462876656,0.14571613101886394,0.22976244447872715,0.9818181818181818
0.9,0.96,88,0.03612125777386749,0.1606648551473092,0.22482364136667538,0.9772727272727273
0.88,0.92,46,0.04999155288931094,0.22641712560274904,0.22079404442675235,0.9565217391304348
0.86,0.96,138,0.04345205281300719,0.20716514319395957,0.20974596470760987,0.9637681159420289
0.86,0.9,50,0.05635425208189307,0.2697401341482668,0.20892053108758776,0.94
0.86,0.98,193,0.036351495084661435,0.17556870865917826,0.20704996557916575,0.9740932642487047
0.86,0.92,74,0.05123289726855827,0.2545428936326188,0.20127412137658263,0.9459459459459459
0.92,1.0,272,0.011004301818541742,0.06608771769593383,0.1665105438982167,0.6360294117647058
0.84,0.94,130,0.04289482645293018,0.2719786018266083,0.1577139751614595,0.9384615384615385
0.88,1.0,318,0.016643967067772502,0.10648716816019123,0.15630021302411365,0.6823899371069182
0.94,0.98,92,0.016361963087026456,0.1083570977362803,0.1510003814133914,0.9891304347826086
0.9,1.0,296,0.013400986109533823,0.08928841777605977,0.15008649994385867,0.6621621621621622
0.8,0.82,39,0.06115954357809008,0.4108344439876869,0.1488666407433041,0.8717948717948718
0.86,1.0,346,0.01960810546970134,0.13252486000235478,0.14795794139569687,0.7023121387283237
0.84,0.98,222,0.031899225418411524,0.21989483133303525,0.1450658263545062,0.9594594594594594
0.84,0.96,167,0.036300435806842474,0.2533533719591552,0.1432798605605088,0.9461077844311377
0.84,0.92,103,0.03744683387787391,0.3053043201534769,0.12265412379048332,0.9223300970873787
0.84,0.9,79,0.03650002652711842,0.3270082509464473,0.11161805985469116,0.9113924050632911
0.74,0.76,56,0.058009970590728606,0.5281164736563426,0.10984313780084241,0.8035714285714286
0.84,1.0,375,0.018267183957504977,0.17002686697103814,0.10743704382094245,0.7146666666666667
0.94,1.0,245,0.00519945528646303,0.06712260401427982,0.07746206159339239,0.5959183673469388
0.94,0.96,37,0.013130955158426173,0.1706475752626438,0.0769477980464493,0.972972972972973
0.84,0.88,57,0.027323025552854575,0.3561353739465921,0.0767208975903418,0.8947368421052632
0.8,0.98,296,0.022196052521493325,0.3003399892643893,0.07390308755040322,0.9256756756756757
0.8,0.94,204,0.024827112462527414,0.35435440315013583,0.07006294331838303,0.8970588235294118
0.8,0.96,241,0.023031436859823073,0.33283282598166974,0.06919821322278918,0.9087136929460581
0.82,0.98,257,0.01628330485142612,0.2793099527369838,0.05829833377530777,0.933852140077821
0.8,1.0,449,0.014117143624808533,0.244140206334849,0.05782391944670617,0.732739420935412
0.82,0.96,202,0.015670069721147754,0.31502921406994244,0.04974163989016175,0.9158415841584159
0.8,0.92,177,0.0189007197338739,0.38006633651003047,0.04973005477788503,0.8813559322033898
0.82,0.94,165,0.016239446926121687,0.33906657885427055,0.047894566845826866,0.9030303030303031
0.82,1.0,410,0.009642378751203707,0.22133334803613727,0.043564961343418473,0.7195121951219512
0.8,0.9,153,0.015502650974621057,0.3993631484325946,0.038818431383730014,0.869281045751634
0.58,0.6,88,0.02767541789593787,0.8234782494505438,0.03360795250439701,0.6136363636363636
0.72,0.76,130,0.016796804441224847,0.5748505323431686,0.029219429218859373,0.7615384615384615
